Name,Population,Area,DEGURBA
ANDRIJAŠEVCI,4075,39649463,3
ANTUNOVAC,3703,56750960,3
BABINA GREDA,3572,79483816,3
BAKAR,8279,125462409,2
BALE - VALLE,1127,82117230,3
BARBAN,2721,90503701,3
BARILOVIĆ,2990,175599001,3
BAŠKA,1674,98911854,3
BAŠKA VODA,2775,25659840,3
BEBRINA,3252,101186686,2
BEDEKOVČINA,8041,51425870,3
BEDNJA,3992,76168361,3
BELI MANASTIR,10068,62368226,2
BELICA,3176,27707208,2
BELIŠĆE,10825,70185470,2
BENKOVAC,11026,514461410,3
BEREK,1443,110955499,3
BERETINEC,2176,12341079,3
BIBINJE,3985,14267922,2
BILJE,5642,259533005,3
BIOGRAD NA MORU,5569,37176718,2
BIZOVAC,4507,100595900,3
BJELOVAR,40276,187860115,2
BLATO,3593,66538495,3
BOGDANOVCI,1960,51619841,3
BOL,1630,23328828,3
BOROVO,5056,28200746,2
BOSILJEVO,1284,111457464,3
BOŠNJACI,3901,94989534,3
BRCKOVLJANI,6837,69774308,2
BRDOVEC,11134,37225348,2
BRESTOVAC,3726,279515317,3
BREZNICA,2200,33523342,3
BRINJE,3256,328657874,3
BROD MORAVICE,866,62017221,3
BRODSKI STUPNIK,3036,57883680,3
BRTONIGLA - VERTENEGLIO,1626,32922758,3
BUDINŠČINA,2503,55025338,3
BUJE - BUIE,5182,99242461,3
BUZET,6133,169044092,3
CERNA,4595,69536542,3
CERNIK,3640,127858384,3
CEROVLJE,1677,105644441,3
CESTICA,5806,46145359,3
CETINGRAD,2027,136823814,3
CISTA PROVO,2335,108099250,3
CIVLJANE,239,82902762,3
CRES,2879,291487426,3
CRIKVENICA,11122,28517855,2
CRNAC,1456,79403718,3
ČABAR,3770,279885140,3
ČAČINCI,2802,144887603,3
ČAĐAVICA,2009,91149141,3
ČAGLIN,2723,178228866,3
ČAKOVEC,27104,76938863,2
ČAVLE,7220,84712699,2
ČAZMA,8077,239926864,3
ČEMINAC,2909,61438003,3
ČEPIN,11599,120683513,2
DARDA,6908,94132746,2
DARUVAR,11633,64676893,2
DAVOR,3015,42717505,3
DELNICE,5952,230898067,3
DESINIĆ,2933,44975107,3
DEŽANOVAC,2715,102669852,3
DICMO,2802,69042852,3
DOBRINJ,2078,55096299,3
DOMAŠINEC,2251,35276682,3
BRELA,1703,26802819,3
DONJA DUBRAVA,1920,19006535,3
DONJA STUBICA,5680,43543688,3
DONJA VOĆA,2443,35998750,3
DONJI ANDRIJEVCI,3709,56982078,3
DONJI KRALJEVEC,4659,36279241,3
DONJI KUKURUZARI,1634,113886933,3
DONJI LAPAC,2113,350698991,3
MARTIJANEC,3843,49053274,3
DONJI MIHOLJAC,9491,134551186,2
MUĆ,3882,222529918,3
PROLOŽAC,3802,54695601,3
DONJI VIDOVEC,1399,13817263,3
DRAGANIĆ,2741,72547963,3
DRAŽ,2767,149529300,3
DRENOVCI,5174,200268158,3
DRENJE,2700,106397984,3
DRNIŠ,7498,351748047,3
DRNJE,1863,29586702,3
DUBRAVA,5245,115652067,3
DUBROVNIK,42615,142637918,2
DUGA RESA,11180,60914660,2
DUGI RAT,7092,11023496,2
DUGO SELO,17466,54285770,2
DVOR,5570,505685965,3
ĐAKOVO,27745,168935956,2
ĐELEKOVEC,1533,26261128,3
ĐULOVAC,3245,186960787,3
ĐURĐENOVAC,6750,116366797,3
ĐURĐEVAC,8264,157764285,2
ĐURMANEC,4235,57810520,3
ERDUT,7308,157504362,3
ERNESTINOVO,2189,32040394,3
ERVENIK,1105,212828798,3
FARKAŠEVAC,1937,73770275,3
FERDINANDOVAC,1750,49706886,3
FERIČANCI,2134,45792255,3
FUŽINE,1592,85811453,3
GARČIN,4806,88299130,3
GAREŠNICA,10472,226349964,3
GENERALSKI STOL,2642,99998038,3
GLINA,9283,544203109,3
GOLA,2431,75935959,3
GORIČAN,2823,21657818,3
GORJANI,1591,50918780,3
GORNJA STUBICA,5284,48681658,3
GORNJI BOGIĆEVCI,1975,41836353,3
GORNJI KNEGINEC,5349,22208378,2
GOSPIĆ,12745,967449462,3
GRAČAC,4690,958257970,3
GRAČIŠĆE,1419,60064788,3
GRAD ZAGREB,790017,641251273,1
GRADAC,3261,72122900,3
GRADEC,3681,88983455,3
GRADINA,3850,120217871,3
GRADIŠTE,2773,57625563,3
GROŽNJAN - GRISIGNANA,736,67055015,3
GRUBIŠNO POLJE,6478,265218883,3
GUNDINCI,2027,58472966,3
GUNJA,3732,31092765,2
HERCEGOVAC,2383,50630465,3
HLEBINE,1304,30741515,3
HRAŠĆINA,1617,27266476,3
HRVACE,3617,207765303,3
HRVATSKA DUBICA,2089,129569761,2
HRVATSKA KOSTAJNICA,2756,52492611,2
BREZNIČKI HUM,1356,26048736,3
HUM NA SUTLI,5060,36911971,3
HVAR,4251,75686824,3
ILOK,6767,129033252,3
IMOTSKI,10764,58458343,3
IVANEC,13758,95922989,3
IVANIĆ-GRAD,14548,173518447,2
IVANKOVO,8006,103645407,2
IVANSKA,2911,132127256,3
JAKOVLJE,3930,35582032,3
JAKŠIĆ,4058,43419574,3
JALŽABET,3615,37986773,3
JARMINA,2458,12952589,3
JASENICE,1398,121634678,3
JASENOVAC,1997,163927836,3
JASTREBARSKO,15866,226435543,3
JELENJE,5344,109097653,2
JELSA,3582,139698911,3
JOSIPDOL,3773,167213976,3
KALI,1638,9448734,3
KANFANAR,1543,59894516,3
KAPELA,2984,104322464,3
KAPTOL,3472,85443456,3
KARLOBAG,917,280829409,3
KARLOVAC,55705,401113326,2
KASTAV,10440,11411833,2
KAŠTELA,38667,57627769,2
KIJEVO,417,76850043,3
KISTANJE,3481,242973411,3
KLAKAR,2319,53530544,2
KLANA,1975,94328665,3
KLANJEC,2915,25620204,3
KLENOVNIK,2022,25743181,3
KLINČA SELA,5231,77019260,3
KLIS,4801,149080459,3
KLOŠTAR IVANIĆ,6091,77450294,3
KLOŠTAR PODRAVSKI,3306,51270772,3
KNEŽEVI VINOGRADI,4614,249613887,3
KNIN,15407,355011490,2
KOMIŽA,1526,48304005,3
KONAVLE,8577,210126482,2
KONČANICA,2360,83983065,3
KONJŠČINA,3790,44294029,3
KOPRIVNICA,30854,91835898,2
KOPRIVNIČKI BREGI,2381,33542056,3
KOPRIVNIČKI IVANEC,2121,33043580,3
KORČULA,5663,112416906,3
KOŠKA,3980,122595006,3
KOTORIBA,3224,26645006,3
KRALJEVEC NA SUTLI,1727,26774999,3
KRALJEVICA,4618,17575720,3
KRAPINA,12480,47721883,2
KRAPINSKE TOPLICE,5367,48831152,3
KRIŽ,6963,117764870,3
KRIŽEVCI,21122,264168520,3
KRK,6281,107119784,3
KRNJAK,1985,111823911,3
KRŠAN,2951,123360322,3
KULA NORINSKA,1748,61606411,3
KUTINA,22760,294806514,2
KUTJEVO,6247,173973313,3
LABIN,11642,72308373,2
LANIŠĆE,329,143734239,3
LASINJA,1624,82133154,3
LASTOVO,792,52532867,3
LEGRAD,2241,62318561,3
LEKENIK,6032,228177915,3
LEPOGLAVA,8283,65947446,3
LEVANJSKA VAROŠ,1194,123218974,3
LIPIK,6170,208653652,3
LIPOVLJANI,3455,103374506,3
LIŠANE OSTROVIČKE,698,48974439,3
LIŽNJAN - LISIGNANO,3965,68078484,3
LOBOR,3188,43234307,3
LOKVE,1049,41968152,3
LOVAS,1214,42561343,3
LOVINAC,1007,345800736,3
LOVRAN,4101,20301111,2
LOVREĆ,1699,105192602,2
LUDBREG,8478,74245952,2
LUKAČ,3634,82891807,3
LUPOGLAV,924,91611113,3
LJUBEŠĆICA,1858,35266594,3
MAČE,2534,27788189,3
MAKARSKA,13834,37775504,2
MALA SUBOTICA,5452,36690492,3
MALI BUKOVEC,2212,36574141,3
MALI LOŠINJ,8116,224573611,2
MALINSKA-DUBAŠNICA,3134,43624638,3
MARČANA,4253,131041101,3
MARIJA BISTRICA,5976,68556183,3
MARIJANCI,2405,65646160,3
MARINA,4595,118396629,3
MARTINSKA VES,3488,125843306,3
MARUŠEVEC,6381,49981628,2
MATULJI,11246,176587784,2
MEDULIN,6481,34123348,3
METKOVIĆ,16788,51207630,2
MIHOVLJAN,1938,26174616,3
MIKLEUŠ,1464,35562313,3
MILNA,1034,34854778,3
MLJET,1088,99259993,3
MOLVE,2189,46375604,3
PODRAVSKA MOSLAVINA,1202,44519186,3
MOŠĆENIČKA DRAGA,1535,46661413,3
MOTOVUN - MONTONA,1004,32653850,3
MRKOPALJ,1214,156333140,3
MURSKO SREDIŠĆE,6307,33872457,3
NAŠICE,16224,205182565,2
NEDELIŠĆE,11975,58775482,3
NEREŽIŠĆA,862,78804990,3
NETRETIĆ,2862,113610150,3
NIN,2744,53307700,3
NOVA BUKOVICA,1771,74944675,3
NOVA GRADIŠKA,14229,48929923,2
NOVA KAPELA,4227,128326701,3
NOVA RAČA,3433,92750005,3
NOVALJA,3663,95687916,3
NOVI MAROF,13246,111859805,3
NOVI VINODOLSKI,5113,261376830,3
NOVIGRAD - CITTANOVA,4345,26575610,3
NOVIGRAD PODRAVSKI,2872,66080868,3
NOVSKA,13518,319777283,3
NUŠTAR,5793,43465751,3
NIJEMCI,4705,224790723,3
OBROVAC,4323,352988572,3
OGULIN,13915,538141287,3
PROMINA,1136,139254347,2
OKUČANI,3447,159644743,3
OMIŠ,14936,266171276,3
OMIŠALJ,2983,36524681,3
OPATIJA,11659,67218525,2
OPRISAVCI,2508,59726050,2
OPRTALJ - PORTOLE,850,61018206,3
OPUZEN,3254,24629519,3
ORAHOVICA,5304,124183007,3
OREBIĆ,4122,131317252,3
ORIOVAC,5824,93280308,3
BISKUPIJA,1699,133417125,3
OROSLAVJE,6138,32049017,2
OSIJEK,108048,174861996,1
OTOČAC,9778,564970193,3
OTOK,5474,94693393,2
OZALJ,6817,179446157,3
PAG,3846,132807760,3
PAKOŠTANE,4123,83493805,3
PAKRAC,8460,358204039,2
PAŠMAN,2082,48424442,3
PAZIN,8638,139107271,3
PERUŠIĆ,2638,382990432,3
PETERANEC,2704,51805344,3
PETLOVAC,2405,93583011,3
PETRIJANEC,4812,47927104,2
PETRIJEVCI,2870,55056172,3
PETRINJA,24671,379256580,2
PETROVSKO,2656,18864143,3
PIĆAN,1827,50782991,3
PISAROVINA,3689,145375729,3
PITOMAČA,10059,158031650,3
PLAŠKI,2090,156517065,3
PLETERNICA,11323,206585856,3
PLOČE,10135,132128638,2
PODBABLJE,4680,44787180,3
PODCRKAVLJE,2553,95038180,3
PODGORA,2518,76181735,3
PODGORAČ,2877,130841741,3
PODSTRANA,9129,11663202,2
PODTUREN,3873,31856282,3
POJEZERJE,991,32809493,2
POLAČA,1468,29987301,3
POLIČNIK,4469,81745679,3
POPOVAC,2084,62438340,3
POPOVAČA,11905,214754237,3
POREČ - PARENZO,16696,111665814,2
POSEDARJE,3607,77480207,3
POSTIRA,1559,46887203,3
POŽEGA,26248,133754879,2
PREGRADA,6594,67473712,3
PREKO,3805,54567247,3
PRELOG,7815,63501519,3
PRESEKA,1448,46120779,3
PRIMOŠTEN,2828,58461212,3
PUČIŠĆA,2171,106174041,3
PULA - POLA,57460,53819811,1
PUNAT,1973,33987260,3
PUNITOVCI,1803,40634612,3
PUŠĆA,2700,17022181,3
RAB,8065,75883590,2
RADOBOJ,3387,33057222,3
RAKOVICA,2387,256385980,3
RASINJA,3267,106049535,3
RAŠA,3183,80359390,3
RAVNA GORA,2430,83613000,3
RAŽANAC,2940,68891142,3
REŠETARI,4753,59217111,3
RIJEKA,128624,43380796,1
ROVINJ - ROVIGNO,14294,77480618,2
ROVIŠĆE,4822,78758978,3
RUGVICA,7871,93667281,3
RUŽIĆ,1591,161018334,3
SABORSKO,632,132428833,3
SALI,1698,124216987,3
SAMOBOR,37633,251459827,2
SATNICA ĐAKOVAČKA,2123,76661889,3
SEGET,4854,78512183,3
SELCA,1804,53777236,3
SELNICA,2991,24900733,3
SEMELJCI,4362,101597952,3
SENJ,7182,657901097,3
SIBINJ,6895,103649328,2
SINJ,24826,193354546,2
SIRAČ,2218,145162976,3
SISAK,47768,421385532,2
SKRAD,1062,52674147,3
SKRADIN,3825,184170936,3
SLATINA,13686,167752605,2
SLAVONSKI BROD,59141,54122119,1
SLAVONSKI ŠAMAC,2169,22474422,3
SLIVNO,1999,52764376,3
SLUNJ,5076,393359567,3
SMOKVICA,916,43598427,3
SOKOLOVAC,3417,135901389,3
SOLIN,23926,34191013,2
SOPJE,2320,117247368,3
SPLIT,178102,79394738,1
SRAČINEC,4842,23501043,2
STANKOVCI,2003,68674045,3
STARA GRADIŠKA,1363,77285107,3
STARI GRAD,2781,52836462,3
STARI JANKOVCI,4405,95236346,3
STARI MIKANOVCI,2956,54368553,3
STARIGRAD,1876,168740323,3
STARO PETROVO SELO,5186,140966239,3
STON,2407,168708394,3
STRIZIVOJNA,2525,36900664,3
STUBIČKE TOPLICE,2805,27016949,2
SUĆURAJ,463,45149146,3
SUHOPOLJE,6683,166644999,3
SUKOŠAN,4583,56435079,3
SUNJA,5748,288266707,3
SUPETAR,4074,29817242,3
SVETI FILIP I JAKOV,4606,47576164,3
SVETI IVAN ZELINA,15959,185936009,3
SVETI KRIŽ ZAČRETJE,6165,40228223,3
SVETI LOVREČ,1015,31651227,3
SVETA NEDELJA,2987,62980565,3
SVETI PETAR U ŠUMI,1065,14233910,3
SVETVINČENAT,2202,79616279,3
SVETA NEDELJA,18059,39741023,2
SVETI ĐURĐ,3804,45872684,3
SVETI ILIJA,3511,17259918,3
SVETI IVAN ŽABNO,5222,106089252,3
SVETI JURAJ NA BREGU,5090,30148062,3
SVETI MARTIN NA MURI,2605,25307607,3
SVETI PETAR OREHOVEC,4583,91042549,3
ŠESTANOVAC,1958,89765410,3
ŠIBENIK,46332,399460201,2
ŠKABRNJA,1776,22666253,3
ŠOLTA,1700,59230074,3
ŠPIŠIĆ BUKOVICA,4221,107804069,3
ŠTEFANJE,2030,67820632,3
ŠTRIGOVA,2766,39288006,3
TINJAN,1684,52751646,3
TISNO,3094,66527171,3
PLITVIČKA JEZERA,4373,469038865,2
TOMPOJEVCI,1565,72435220,3
TOPUSKO,2985,198679795,3
TORDINCI,2032,50194861,3
TOVARNIK,2775,64503920,3
TRILJ,9109,267977233,3
TRNAVA,1600,82845060,3
TRNOVEC BARTOLOVEČKI,6884,38676153,2
TROGIR,13192,39266008,2
TRPINJA,5572,122811747,3
TUHELJ,2104,23923813,3
UDBINA,1874,685756968,3
UMAG - UMAGO,13467,82179897,2
UNEŠIĆ,1686,188922918,3
VALPOVO,11563,141192332,2
VARAŽDIN,46946,59879714,2
VARAŽDINSKE TOPLICE,6364,79148843,3
VELA LUKA,4137,42838115,3
VELIKA,5607,154876878,3
VELIKA KOPANICA,3308,74292449,3
VELIKA LUDINA,2625,102883872,3
VELIKA PISANICA,1781,84009160,3
VELIKI GRĐEVAC,2849,169314303,3
VELIKO TRGOVIŠĆE,4945,46692799,3
VELIKO TROJSTVO,2741,65521017,3
VIDOVEC,5425,32082421,2
VILJEVO,2065,111345918,3
VINICA,3389,32353669,2
VINKOVCI,35312,94187416,2
VINODOLSKA OPĆINA,3577,152928499,3
VIR,3000,22173702,3
VIRJE,4587,78496184,3
VIROVITICA,21291,170670218,2
VIS,1934,52785236,3
VISOKO,1518,24828956,3
VIŠKOVCI,1906,44017661,3
VIŠKOVO,14445,18657166,2
VIŠNJAN - VISIGNANO,2274,63513137,3
VIŽINADA - VISINADA,1158,35683138,3
VOĆIN,2382,296560945,3
VODICE,8875,92652980,2
VODNJAN - DIGNANO,6119,101005813,3
VOJNIĆ,4764,238943050,3
VRATIŠINEC,1984,16314386,3
VRBANJA,3940,191283186,3
VRBJE,2215,79248510,3
VRBNIK,1260,52596910,3
VRBOVEC,14797,160858148,3
VRBOVSKO,5076,279869187,3
GVOZD,2970,212363828,3
VRGORAC,6572,278644662,3
VRHOVINE,1381,225275664,3
VRLIKA,2177,243502161,3
VRPOLJE,3521,60885176,3
VRSAR - ORSERA,2162,36459351,3
VUKA,1200,24760147,3
VUKOVAR,27683,100099509,2
ZABOK,8994,34596745,3
ZADAR,75062,192134708,1
ZAGORSKA SELA,996,24670267,3
ZAGVOZD,1188,138799791,3
ZAŽABLJE,757,60605689,3
ZDENCI,1904,84635435,3
ZEMUNIK DONJI,2060,54830450,3
ZLATAR,6096,76027054,3
ZLATAR BISTRICA,2600,24715158,3
ZMIJAVCI,2048,13759573,3
ŽAKANJE,1889,44683545,3
ŽMINJ,3483,71577505,3
KRAŠIĆ,2640,71497346,3
ŽUPANJA,12090,50196180,2
OTOK,6343,136476114,3
RAKOVEC,1252,34853628,3
NOVIGRAD,2375,51155401,3
KOSTRENA,4180,12003799,2
MARIJA GORICA,2233,17148217,3
ŽUMBERAK,883,110093989,3
VELIKA GORICA,63517,326665998,2
ORLE,1975,58569657,3
ZAPREŠIĆ,25223,53940389,2
POKUPSKO,2224,105729396,3
KRAVARSKO,1987,58415864,3
BISTRA,6632,52891638,3
LUKA,1351,17360984,3
DUBRAVICA,1437,20556107,3
BEDENICA,1432,21475153,3
STUPNIK,3735,24848970,2
JESENJE,1560,24468832,3
KUMROVEC,1588,17516530,3
NOVI GOLUBOVEC,996,13675908,3
MAJUR,1185,67421440,3
RIBNIK,475,40542355,3
TOUNJ,1150,96112587,3
VELIKI BUKOVEC,1438,23192165,3
KALINOVAC,1597,35318234,3
KALNIK,1351,26662489,3
NOVO VIRJE,1216,36222404,3
SEVERIN,877,25947344,3
ŠANDROVAC,1776,62683216,3
VELIKA TRNOVITICA,1370,60615881,3
ZRINSKI TOPOLOVAC,890,30350940,3
BUKOVLJE,3108,31013980,2
DRAGALIĆ,1361,61620990,3
GORNJA VRBA,2512,20134149,2
SIKIREVCI,2476,29655090,3
GALOVAC,1234,9509125,3
KUKLJICA,714,6750473,3
POVLJANA,759,38379684,3
PRIVLAKA,2253,11072047,3
TKON,763,14874080,3
DONJA MOTIČINA,1652,52026815,3
MAGADENOVAC,1936,112864389,3
VLADISLAVCI,1882,32005948,3
PIROVAC,1930,39302166,3
ROGOZNICA,2345,68129142,3
PRIVLAKA,2954,52448746,3
VOĐINCI,1966,20756438,3
DUGOPOLJE,3469,63647259,3
LEĆEVICA,583,87644254,3
LOKVIČIĆI,807,28521376,3
OKRUG,3349,9758756,2
PRGOMET,673,77400668,3
PRIMORSKI DOLAC,770,32430122,3
RUNOVIĆI,2416,59294584,3
SUTIVAN,822,21837492,3
TUČEPI,1931,22475769,3
ZADVARJE,289,13044151,3
KAROJBA,1438,34677246,3
KAŠTELIR-LABINCI - CASTELLIERE-S. DOMENICA,1463,35212386,3
DUBROVAČKO PRIMORJE,2170,197635759,3
JANJINA,551,30101542,3
LUMBARDA,1213,10715116,3
TRPANJ,721,35568046,3
ŽUPA DUBROVAČKA,8331,22864781,2
DEKANOVEC,774,6045803,3
GORNJI MIHALJEVEC,1917,32132215,3
OREHOVICA,2685,21556654,3
STRAHONINEC,2682,8352300,2
SVETA MARIJA,2317,23029260,3
ŠENKOVEC,2879,9017084,2
JAGODNJAK,2023,102484173,3
MARKUŠICA,2555,73774187,3
NEGOSLAVCI,1463,21225178,3
ŠODOLOVCI,1653,73378774,3
PODRAVSKE SESVETE,1630,29073962,3
MURTER - KORNATI,2044,78724552,3
GORNJA RIJEKA,1779,32635628,3
FAŽANA - FASANA,3635,13643837,2
PRIBISLAVEC,3136,11110288,2
BILICE,2307,20949689,3
KOLAN,791,28840654,3
KAMANJE,891,14640583,3
LOPAR,1263,26231916,3
VRSI,2053,37002154,3
TRIBUNJ,1536,15281402,2
ŠTITAR,2129,40422753,3
FUNTANA - FONTANE,907,7958645,3
TAR-VABRIGA - TORRE-ABREGA,1990,27107344,3